vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.326600000000080e+00	7.592934e+01
6.326900000000080e+00	7.592561e+01
6.327200000000080e+00	7.592188e+01
6.327500000000081e+00	7.591815e+01
6.327800000000081e+00	7.591442e+01
6.328100000000081e+00	7.591068e+01
6.328400000000081e+00	7.590695e+01
6.328700000000081e+00	7.590321e+01
6.329000000000081e+00	7.589948e+01
6.329300000000082e+00	7.589576e+01
6.329600000000082e+00	7.589203e+01
6.329900000000082e+00	7.588830e+01
6.330200000000082e+00	7.588456e+01
6.330500000000082e+00	7.588083e+01
6.330800000000083e+00	7.587711e+01
6.331100000000083e+00	7.587338e+01
6.331400000000083e+00	7.586966e+01
6.331700000000083e+00	7.586592e+01
6.332000000000083e+00	7.586220e+01
6.332300000000084e+00	7.585846e+01
6.332600000000084e+00	7.585474e+01
6.332900000000084e+00	7.585101e+01
6.333200000000084e+00	7.584729e+01
6.333500000000084e+00	7.584356e+01
6.333800000000084e+00	7.583983e+01
6.334100000000085e+00	7.583612e+01
6.334400000000085e+00	7.583238e+01
6.334700000000085e+00	7.582866e+01
6.335000000000085e+00	7.582493e+01
6.335300000000085e+00	7.582120e+01
6.335600000000086e+00	7.581749e+01
6.335900000000086e+00	7.581377e+01
6.336200000000086e+00	7.581004e+01
6.336500000000086e+00	7.580632e+01
6.336800000000086e+00	7.580259e+01
6.337100000000087e+00	7.579887e+01
6.337400000000087e+00	7.579515e+01
6.337700000000087e+00	7.579144e+01
6.338000000000087e+00	7.578772e+01
6.338300000000087e+00	7.578399e+01
6.338600000000087e+00	7.578027e+01
6.338900000000088e+00	7.577654e+01
6.339200000000088e+00	7.577283e+01
6.339500000000088e+00	7.576911e+01
6.339800000000088e+00	7.576540e+01
6.340100000000088e+00	7.576168e+01
6.340400000000089e+00	7.575796e+01
6.340700000000089e+00	7.575424e+01
6.341000000000089e+00	7.575052e+01
6.341300000000089e+00	7.574681e+01
6.341600000000089e+00	7.574309e+01
6.341900000000090e+00	7.573938e+01
6.342200000000090e+00	7.573566e+01
6.342500000000090e+00	7.573195e+01
6.342800000000090e+00	7.572823e+01
6.343100000000090e+00	7.572451e+01
6.343400000000091e+00	7.572080e+01
6.343700000000091e+00	7.571708e+01
6.344000000000091e+00	7.571338e+01
6.344300000000091e+00	7.570967e+01
6.344600000000091e+00	7.570595e+01
6.344900000000091e+00	7.570223e+01
6.345200000000092e+00	7.569851e+01
6.345500000000092e+00	7.569480e+01
6.345800000000092e+00	7.569110e+01
6.346100000000092e+00	7.568740e+01
6.346400000000092e+00	7.568368e+01
6.346700000000093e+00	7.567996e+01
6.347000000000093e+00	7.567625e+01
