rl	V(v2s)	I(Rl)
1.981000000000002e+01	3.318040e+00	1.674932e-01
1.991000000000002e+01	3.318041e+00	1.666520e-01
2.001000000000002e+01	3.318041e+00	1.658192e-01
2.011000000000002e+01	3.318041e+00	1.649946e-01
2.021000000000002e+01	3.318042e+00	1.641782e-01
2.031000000000002e+01	3.318042e+00	1.633699e-01
2.041000000000003e+01	3.318042e+00	1.625694e-01
2.051000000000003e+01	3.318043e+00	1.617768e-01
2.061000000000003e+01	3.318043e+00	1.609919e-01
2.071000000000003e+01	3.318043e+00	1.602145e-01
2.081000000000003e+01	3.318043e+00	1.594447e-01
2.091000000000003e+01	3.318044e+00	1.586822e-01
2.101000000000003e+01	3.318044e+00	1.579269e-01
2.111000000000003e+01	3.318044e+00	1.571788e-01
2.121000000000004e+01	3.318045e+00	1.564378e-01
2.131000000000004e+01	3.318045e+00	1.557037e-01
2.141000000000004e+01	3.318045e+00	1.549764e-01
2.151000000000004e+01	3.318046e+00	1.542560e-01
2.161000000000004e+01	3.318046e+00	1.535421e-01
2.171000000000004e+01	3.318046e+00	1.528349e-01
2.181000000000004e+01	3.318046e+00	1.521342e-01
2.191000000000005e+01	3.318047e+00	1.514398e-01
2.201000000000005e+01	3.318047e+00	1.507518e-01
2.211000000000005e+01	3.318047e+00	1.500700e-01
2.221000000000005e+01	3.318048e+00	1.493943e-01
2.231000000000005e+01	3.318048e+00	1.487247e-01
2.241000000000005e+01	3.318048e+00	1.480611e-01
2.251000000000005e+01	3.318048e+00	1.474033e-01
2.261000000000006e+01	3.318048e+00	1.467514e-01
2.271000000000006e+01	3.318049e+00	1.461052e-01
2.281000000000006e+01	3.318049e+00	1.454647e-01
2.291000000000006e+01	3.318049e+00	1.448297e-01
2.301000000000006e+01	3.318050e+00	1.442003e-01
2.311000000000006e+01	3.318050e+00	1.435764e-01
2.321000000000006e+01	3.318050e+00	1.429578e-01
2.331000000000007e+01	3.318050e+00	1.423445e-01
2.341000000000007e+01	3.318051e+00	1.417365e-01
2.351000000000007e+01	3.318051e+00	1.411336e-01
2.361000000000007e+01	3.318051e+00	1.405358e-01
2.371000000000007e+01	3.318051e+00	1.399431e-01
2.381000000000007e+01	3.318052e+00	1.393554e-01
