vin	-100*((V(V2s)*I(RL))/(V(Vpos)*I(VIN)))
6.245600000000029e+00	5.007497e+01
6.245900000000029e+00	5.007243e+01
6.246200000000029e+00	5.006990e+01
6.246500000000029e+00	5.006736e+01
6.246800000000030e+00	5.006483e+01
6.247100000000030e+00	5.006229e+01
6.247400000000030e+00	5.005976e+01
6.247700000000030e+00	5.005722e+01
6.248000000000030e+00	5.005469e+01
6.248300000000031e+00	5.005215e+01
6.248600000000031e+00	5.004962e+01
6.248900000000031e+00	5.004708e+01
6.249200000000031e+00	5.004455e+01
6.249500000000031e+00	5.004202e+01
6.249800000000032e+00	5.003948e+01
6.250100000000032e+00	5.003694e+01
6.250400000000032e+00	5.003442e+01
6.250700000000032e+00	5.003189e+01
6.251000000000032e+00	5.002935e+01
6.251300000000032e+00	5.002682e+01
6.251600000000033e+00	5.002429e+01
6.251900000000033e+00	5.002175e+01
6.252200000000033e+00	5.001922e+01
6.252500000000033e+00	5.001669e+01
6.252800000000033e+00	5.001416e+01
6.253100000000034e+00	5.001163e+01
6.253400000000034e+00	5.000911e+01
6.253700000000034e+00	5.000658e+01
6.254000000000034e+00	5.000404e+01
6.254300000000034e+00	5.000151e+01
6.254600000000035e+00	4.999898e+01
6.254900000000035e+00	4.999645e+01
6.255200000000035e+00	4.999393e+01
6.255500000000035e+00	4.999140e+01
6.255800000000035e+00	4.998887e+01
6.256100000000036e+00	4.998634e+01
6.256400000000036e+00	4.998381e+01
6.256700000000036e+00	4.998128e+01
6.257000000000036e+00	4.997875e+01
6.257300000000036e+00	4.997623e+01
6.257600000000036e+00	4.997371e+01
6.257900000000037e+00	4.997117e+01
6.258200000000037e+00	4.996865e+01
6.258500000000037e+00	4.996612e+01
6.258800000000037e+00	4.996359e+01
6.259100000000037e+00	4.996107e+01
6.259400000000038e+00	4.995854e+01
6.259700000000038e+00	4.995602e+01
6.260000000000038e+00	4.995349e+01
6.260300000000038e+00	4.995097e+01
6.260600000000038e+00	4.994844e+01
6.260900000000039e+00	4.994592e+01
6.261200000000039e+00	4.994340e+01
6.261500000000039e+00	4.994087e+01
6.261800000000039e+00	4.993835e+01
6.262100000000039e+00	4.993583e+01
6.262400000000039e+00	4.993331e+01
6.262700000000040e+00	4.993078e+01
6.263000000000040e+00	4.992826e+01
6.263300000000040e+00	4.992574e+01
6.263600000000040e+00	4.992322e+01
6.263900000000040e+00	4.992069e+01
6.264200000000041e+00	4.991817e+01
6.264500000000041e+00	4.991565e+01
6.264800000000041e+00	4.991313e+01
6.265100000000041e+00	4.991061e+01
6.265400000000041e+00	4.990809e+01
6.265700000000042e+00	4.990557e+01
6.266000000000042e+00	4.990305e+01
6.266300000000042e+00	4.990052e+01
6.266600000000042e+00	4.989801e+01
6.266900000000042e+00	4.989549e+01
6.267200000000043e+00	4.989297e+01
6.267500000000043e+00	4.989045e+01
6.267800000000043e+00	4.988793e+01
6.268100000000043e+00	4.988541e+01
6.268400000000043e+00	4.988289e+01
6.268700000000043e+00	4.988037e+01
6.269000000000044e+00	4.987786e+01
6.269300000000044e+00	4.987534e+01
6.269600000000044e+00	4.987282e+01
6.269900000000044e+00	4.987031e+01
6.270200000000044e+00	4.986779e+01
6.270500000000045e+00	4.986527e+01
6.270800000000045e+00	4.986275e+01
6.271100000000045e+00	4.986024e+01
6.271400000000045e+00	4.985773e+01
6.271700000000045e+00	4.985521e+01
6.272000000000046e+00	4.985269e+01
6.272300000000046e+00	4.985018e+01
6.272600000000046e+00	4.984766e+01
6.272900000000046e+00	4.984515e+01
6.273200000000046e+00	4.984263e+01
6.273500000000046e+00	4.984012e+01
6.273800000000047e+00	4.983761e+01
6.274100000000047e+00	4.983510e+01
6.274400000000047e+00	4.983258e+01
6.274700000000047e+00	4.983006e+01
6.275000000000047e+00	4.982755e+01
6.275300000000048e+00	4.982504e+01
6.275600000000048e+00	4.982252e+01
6.275900000000048e+00	4.982002e+01
6.276200000000048e+00	4.981751e+01
6.276500000000048e+00	4.981499e+01
6.276800000000049e+00	4.981248e+01
6.277100000000049e+00	4.980997e+01
6.277400000000049e+00	4.980746e+01
6.277700000000049e+00	4.980495e+01
6.278000000000049e+00	4.980244e+01
6.278300000000050e+00	4.979993e+01
6.278600000000050e+00	4.979742e+01
6.278900000000050e+00	4.979491e+01
6.279200000000050e+00	4.979239e+01
6.279500000000050e+00	4.978989e+01
6.279800000000050e+00	4.978738e+01
6.280100000000051e+00	4.978487e+01
6.280400000000051e+00	4.978236e+01
6.280700000000051e+00	4.977985e+01
6.281000000000051e+00	4.977735e+01
6.281300000000051e+00	4.977484e+01
6.281600000000052e+00	4.977233e+01
6.281900000000052e+00	4.976982e+01
6.282200000000052e+00	4.976732e+01
6.282500000000052e+00	4.976481e+01
6.282800000000052e+00	4.976230e+01
6.283100000000053e+00	4.975979e+01
6.283400000000053e+00	4.975729e+01
6.283700000000053e+00	4.975478e+01
6.284000000000053e+00	4.975228e+01
6.284300000000053e+00	4.974977e+01
6.284600000000053e+00	4.974727e+01
6.284900000000054e+00	4.974476e+01
6.285200000000054e+00	4.974225e+01
6.285500000000054e+00	4.973975e+01
6.285800000000054e+00	4.973725e+01
6.286100000000054e+00	4.973474e+01
6.286400000000055e+00	4.973224e+01
6.286700000000055e+00	4.972974e+01
6.287000000000055e+00	4.972723e+01
6.287300000000055e+00	4.972473e+01
6.287600000000055e+00	4.972223e+01
6.287900000000056e+00	4.971973e+01
6.288200000000056e+00	4.971722e+01
6.288500000000056e+00	4.971473e+01
6.288800000000056e+00	4.971222e+01
6.289100000000056e+00	4.970972e+01
6.289400000000057e+00	4.970721e+01
6.289700000000057e+00	4.970471e+01
6.290000000000057e+00	4.970221e+01
6.290300000000057e+00	4.969972e+01
6.290600000000057e+00	4.969721e+01
6.290900000000057e+00	4.969471e+01
6.291200000000058e+00	4.969221e+01
6.291500000000058e+00	4.968971e+01
6.291800000000058e+00	4.968721e+01
6.292100000000058e+00	4.968471e+01
6.292400000000058e+00	4.968221e+01
6.292700000000059e+00	4.967972e+01
6.293000000000059e+00	4.967722e+01
6.293300000000059e+00	4.967472e+01
6.293600000000059e+00	4.967222e+01
6.293900000000059e+00	4.966972e+01
6.294200000000060e+00	4.966722e+01
6.294500000000060e+00	4.966473e+01
6.294800000000060e+00	4.966223e+01
6.295100000000060e+00	4.965973e+01
6.295400000000060e+00	4.965724e+01
6.295700000000060e+00	4.965474e+01
6.296000000000061e+00	4.965224e+01
6.296300000000061e+00	4.964975e+01
6.296600000000061e+00	4.964725e+01
6.296900000000061e+00	4.964476e+01
6.297200000000061e+00	4.964226e+01
6.297500000000062e+00	4.963977e+01
6.297800000000062e+00	4.963728e+01
6.298100000000062e+00	4.963478e+01
6.298400000000062e+00	4.963229e+01
6.298700000000062e+00	4.962979e+01
6.299000000000063e+00	4.962730e+01
6.299300000000063e+00	4.962480e+01
6.299600000000063e+00	4.962231e+01
6.299900000000063e+00	4.961982e+01
6.300200000000063e+00	4.961732e+01
6.300500000000063e+00	4.961483e+01
6.300800000000064e+00	4.961234e+01
6.301100000000064e+00	4.960985e+01
6.301400000000064e+00	4.960735e+01
6.301700000000064e+00	4.960486e+01
6.302000000000064e+00	4.960237e+01
