time	V(v2s)
Step Information: Cl=1µ  (Step: 1/9)
5.000001300000000e-03	5.015890e+00
5.000001600000000e-03	5.015889e+00
5.000002000000001e-03	5.015885e+00
5.000002040000001e-03	5.015890e+00
5.000002120000001e-03	5.015893e+00
5.000002280000001e-03	5.015891e+00
5.000002600000002e-03	5.015885e+00
5.000003240000004e-03	5.015874e+00
5.000004520000007e-03	5.015848e+00
5.000007080000013e-03	5.015790e+00
5.000012200000026e-03	5.015662e+00
5.000022440000052e-03	5.015413e+00
5.000036204472513e-03	5.015145e+00
5.000055210714037e-03	5.014905e+00
5.000085306334570e-03	5.014695e+00
5.000120123280639e-03	5.014565e+00
5.000164039468396e-03	5.014466e+00
5.000227598101258e-03	5.014362e+00
5.000347564218499e-03	5.014225e+00
5.000583215781176e-03	5.014071e+00
5.001018117188930e-03	5.013950e+00
5.001575586193474e-03	5.013907e+00
5.002282075305216e-03	5.013900e+00
5.002966413495906e-03	5.013900e+00
5.003966413495906e-03	5.013900e+00
5.004966413495906e-03	5.013900e+00
5.005966413495907e-03	5.013900e+00
5.016966413495908e-03	5.013900e+00
5.823966413496015e-03	5.013900e+00
5.997966413496038e-03	5.013900e+00
5.999000000000000e-03	5.013900e+00
5.999201519023770e-03	5.013900e+00
5.999470211055464e-03	5.013900e+00
5.999471211055464e-03	5.013900e+00
5.999473211055464e-03	5.013900e+00
5.999477211055463e-03	5.013900e+00
5.999485211055464e-03	5.013900e+00
5.999501211055464e-03	5.013900e+00
5.999533211055464e-03	5.013900e+00
5.999725211055464e-03	5.013900e+00
5.999781577889073e-03	5.013900e+00
5.999856733667219e-03	5.013900e+00
5.999857733667220e-03	5.013900e+00
5.999859733667220e-03	5.013900e+00
5.999863733667219e-03	5.013900e+00
5.999871733667219e-03	5.013900e+00
5.999887733667220e-03	5.013900e+00
5.999936000000000e-03	5.013900e+00
5.999968532665561e-03	5.013900e+00
5.999969532665562e-03	5.013900e+00
5.999971532665562e-03	5.013900e+00
5.999975532665561e-03	5.013900e+00
5.999983532665561e-03	5.013900e+00
5.999984000000000e-03	5.013900e+00
5.999984934668877e-03	5.013900e+00
5.999986804006631e-03	5.013900e+00
5.999992522648984e-03	5.013900e+00
5.999996040066310e-03	5.013900e+00
5.999997040066310e-03	5.013900e+00
5.999998000000000e-03	5.013900e+00
5.999998080132620e-03	5.013900e+00
5.999998240397861e-03	5.013900e+00
5.999998560928341e-03	5.013900e+00
5.999999201989303e-03	5.013900e+00
6.000000000000000e-03	5.013900e+00
6.000000079801070e-03	5.013906e+00
6.000000239403209e-03	5.013909e+00
6.000000558607489e-03	5.013911e+00
6.000001000000000e-03	5.013915e+00
6.000001044139252e-03	5.013910e+00
6.000001132417754e-03	5.013907e+00
6.000001308974759e-03	5.013910e+00
6.000001662088769e-03	5.013916e+00
6.000002368316788e-03	5.013928e+00
6.000003780772826e-03	5.013958e+00
6.000006605684903e-03	5.014023e+00
6.000012255509056e-03	5.014165e+00
6.000023555157361e-03	5.014433e+00
6.000038228089524e-03	5.014701e+00
6.000059199931029e-03	5.014938e+00
6.000093331227526e-03	5.015144e+00
6.000126867268371e-03	5.015254e+00
6.000176486452603e-03	5.015356e+00
6.000244657030258e-03	5.015461e+00
6.000380998185569e-03	5.015603e+00
6.000653680496191e-03	5.015757e+00
6.001143351178922e-03	5.015866e+00
6.001679963657460e-03	5.015896e+00
6.002399991911074e-03	5.015900e+00
6.003113309293551e-03	5.015900e+00
6.004113309293551e-03	5.015900e+00
6.005113309293551e-03	5.015900e+00
6.006113309293551e-03	5.015900e+00
6.787113309293655e-03	5.015900e+00
6.998113309293683e-03	5.015900e+00
6.999001000000000e-03	5.015900e+00
6.999002000000001e-03	5.015900e+00
6.999004000000001e-03	5.015900e+00
6.999008000000003e-03	5.015900e+00
6.999016000000005e-03	5.015900e+00
6.999032000000011e-03	5.015900e+00
6.999064000000022e-03	5.015900e+00
6.999256000000087e-03	5.015900e+00
6.999512000000175e-03	5.015900e+00
6.999513000000175e-03	5.015900e+00
6.999515000000176e-03	5.015900e+00
6.999519000000177e-03	5.015900e+00
6.999527000000180e-03	5.015900e+00
6.999543000000185e-03	5.015900e+00
6.999575000000196e-03	5.015900e+00
6.999639000000218e-03	5.015900e+00
6.999767000000262e-03	5.015900e+00
6.999768000000262e-03	5.015900e+00
6.999770000000263e-03	5.015900e+00
6.999774000000264e-03	5.015900e+00
6.999782000000267e-03	5.015900e+00
6.999798000000272e-03	5.015900e+00
6.999830000000283e-03	5.015900e+00
6.999894000000305e-03	5.015900e+00
6.999895000000305e-03	5.015900e+00
6.999897000000306e-03	5.015900e+00
6.999901000000307e-03	5.015900e+00
6.999909000000310e-03	5.015900e+00
6.999925000000315e-03	5.015900e+00
6.999957000000326e-03	5.015900e+00
6.999958000000327e-03	5.015900e+00
6.999960000000327e-03	5.015900e+00
6.999964000000329e-03	5.015900e+00
6.999972000000331e-03	5.015900e+00
6.999984999999995e-03	5.015900e+00
6.999987999999996e-03	5.015900e+00
6.999991999999997e-03	5.015900e+00
6.999994999999998e-03	5.015900e+00
6.999996999999999e-03	5.015900e+00
6.999997999999999e-03	5.015900e+00
6.999999000000000e-03	5.015900e+00
7.000000000000000e-03	5.015900e+00
7.000001000000000e-03	5.015900e+00
7.000001100000000e-03	5.015894e+00
7.000001300000000e-03	5.015890e+00
7.000001600000000e-03	5.015889e+00
7.000002000000001e-03	5.015885e+00
7.000002040000001e-03	5.015890e+00
7.000002120000001e-03	5.015893e+00
7.000002280000001e-03	5.015891e+00
7.000002600000002e-03	5.015885e+00
7.000003240000004e-03	5.015874e+00
7.000004520000007e-03	5.015848e+00
7.000007080000013e-03	5.015790e+00
7.000012200000026e-03	5.015662e+00
7.000022440000052e-03	5.015413e+00
7.000036204472268e-03	5.015145e+00
7.000055210714068e-03	5.014905e+00
7.000085306334013e-03	5.014695e+00
7.000120123282320e-03	5.014565e+00
7.000164039466890e-03	5.014466e+00
7.000227598103178e-03	5.014362e+00
7.000347564200275e-03	5.014225e+00
